doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
cotopaxi-returns,data\ecommerce\cotopaxi-returns.md,Cotopaxi Returns & Exchanges,https://www.cotopaxi.com/pages/returns,20/9/2026,not-stated,public-source
cotopaxi-shipping,data\ecommerce\cotopaxi-shipping.md,Cotopaxi Shipping Policy,https://www.cotopaxi.com/pages/shipping,20/9/2026,not-stated,public-source
everlane-privacy,data\ecommerce\everlane-privacy.md,Everlane Privacy Policy,https://www.everlane.com/pages/privacy,20/9/2026,not-stated,public-source
dongduc-doi-tra,data\ecommerce\dongduc-doi-tra.md,Chính sách ??i tr? hàng hóa ?ông ??c,https://dongduc.com.vn/post/chinh-sach-doi-tra-hang-hoa.html,20/9/2026,not-stated,public-source
qoatea-doi-tra,data\ecommerce\qoatea-doi-tra.md,Chính sách ??i tr? hàng hóa QoaTea,https://qoatea.vn/vi/article/29111/chinh-sach-doi-tra-hang-hoa,20/9/2026,not-stated,public-source
xtrend-doi-tra,data\ecommerce\xtrend-doi-tra.md,Chính sách ??i tr? hàng XTrend,https://xtrend.vn/chinh-sach-doi-tra-hang/,20/9/2026,not-stated,public-source
shopee-buyer-return-refund-rules,data\ecommerce/shopee-buyer-return-refund-rules.md,Quy ??nh chung v? Tr? hàng và Hoàn ti?n Shopee,https://help.shopee.vn/portal/4/article/188931,20/9/2026,not-stated,public-source
shopee-co-inspection-program,data\ecommerce/shopee-co-inspection-program.md,Ch??ng trình Shopee ??ng Ki?m,https://help.shopee.vn/portal/4/article/124982,20/9/2026,not-stated,public-source
shopee-dispute-resolution,data\ecommerce/shopee-dispute-resolution.md,Quy trình gi?i quy?t tranh ch?p và khi?u n?i,https://help.shopee.vn/portal/4/article/77265,20/9/2026,not-stated,public-source
